Subject,Relationship,Object
Pregnancy After Loss Support Online Support Groups,socials_are,https://www.facebook.com/pregnancyafterlosssupport/
Return to Zero HOPE Virtual Support Groups,main_services_are,"['bereavement', 'peer support', 'virtual support']"
Return to Zero HOPE Virtual Support Groups,website_is,https://rtzhope.org/register
Return to Zero HOPE Virtual Support Groups,has_an_availability_status_of,available
Return to Zero HOPE Virtual Support Groups,description_is,"RTZ HOPE provides compassionate and holistic support for people who have experienced unimaginable loss during their journey to parenthood.This program provides:- Online peer support communityJoin the online community of bereaved parents, visit the website to go to the Facebook page.No one will be turned away for lack of funds. Contact [email protected] to discuss funding options. Check website for details on time."
Return to Zero HOPE Virtual Support Groups,speaks,['English']
Return to Zero HOPE Virtual Support Groups,costs,Reduced Cost
Return to Zero HOPE Virtual Support Groups,has_Google_Reviews,True
Return to Zero HOPE Virtual Support Groups,covers,This program covers residents of All US states and territories.
Return to Zero HOPE Virtual Support Groups,24hours_status_is,False
Return to Zero HOPE Virtual Support Groups,serves,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'pregnant', 'families', 'with children', 'parents'], []"
Return to Zero HOPE Virtual Support Groups,socials_are,"https://www.facebook.com/rtzhope/, https://www.twitter.com/@RTZHope"
Return to Zero HOPE Virtual Support Groups,is_open_from,"?, ?, ?, ?, ?, ?, ?"
Dr Bergin Family Counseling Services,main_services_are,"['counseling', 'specialized therapy', 'group therapy', 'individual counseling']"
Dr Bergin Family Counseling Services,phone_number_is,951-684-6684
Dr Bergin Family Counseling Services,website_is,https://drbergin.net/therapy-services/
Dr Bergin Family Counseling Services,is_located_at,"6800 Indiana Avenue #150, Riverside, CA 92504"
Dr Bergin Family Counseling Services,url_is_located_at,"https://www.google.com/maps/?q=6800+Indiana+Avenue,+Riverside,+CA+92504/"
Dr Bergin Family Counseling Services,has_an_availability_status_of,available
Dr Bergin Family Counseling Services,description_is,"Therapy Services help people learn how to deal more effectively with situations in their lives such as depression, addiction and substance abuse, stress, problems with self- esteem, grief, issues related to mental and emotional health, and relational problems.Therapy services offered:- Therapy for Adults- Therapy for Children- Therapy for Couples- Therapy for Families- Equine Assist Therapy- Animal Assist Therapy- Sand Tray Therapy- Play Therapy- Trauma / Attachment (EMDR)Experienced associates who work under supervision that are able to see clients on a cash paying bases for $50 a session."
Dr Bergin Family Counseling Services,speaks,['English']
Dr Bergin Family Counseling Services,costs,Reduced Cost
Dr Bergin Family Counseling Services,has_Google_Reviews,True
Dr Bergin Family Counseling Services,covers,"This program covers residents of the following counties: Riverside County, CA."
Dr Bergin Family Counseling Services,zipcode_is,92504.0
Dr Bergin Family Counseling Services,24hours_status_is,False
Dr Bergin Family Counseling Services,serves,"['all ages', 'individuals', 'families', 'all mental health'], []"
Dr Bergin Family Counseling Services,coordinates_are,"33.9428054, -117.3915285"
Dr Bergin Family Counseling Services,is_open_from,"8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, Closed, Closed"
Riverside Intensive Outpatient Mental Health,main_services_are,"['mental health care', 'navigating the system']"
Riverside Intensive Outpatient Mental Health,phone_number_is,951-782-0040
Riverside Intensive Outpatient Mental Health,website_is,http://www.ca-mentor.com/children-&-families/family-support-services
Riverside Intensive Outpatient Mental Health,is_located_at,"6800 Indiana Avenue #260, Riverside, CA 92506"
Riverside Intensive Outpatient Mental Health,url_is_located_at,"https://www.google.com/maps/?q=6800+Indiana+Avenue,+Riverside,+CA+92506/"
Riverside Intensive Outpatient Mental Health,has_an_availability_status_of,available
Riverside Intensive Outpatient Mental Health,description_is,"California MENTOR believes children belong in the family home whenever it is safe and possible. Through our Family Support Services, we help families of youth at risk with complex mental health, behavioral and other needs overcome the challenges they face together.  Our diverse, multilingual specialists support families from a wide range of backgrounds who may be facing:- Out-of-home placements or reunification- Trauma from substance abuse and domestic violence- Involvement with the juvenile justice system- Behavioral and mental health challengesFamily Support Services are provided by a specially trained Child and Family Team that develops a uniquely tailored Plan of Care (POC), based on the child’s strengths and needs and respecting family culture and preferences.  Our master’s-level therapists create personalized plans and work with family members who play an active role in helping children achieve unique goals that may include:- Working through any crisis in a positive way.- Identifying a family’s natural strengths and supports in the community that can help them continue moving forward.- Developing communication skills to strengthen family and community relationships.Depending on each family’s unique needs, Family Support Services may use Family Centered Treatment® (FCT), an evidence-based model of family preservation designed to help families who are at risk learn, grow and interact in a positive way.At Riverside Intensive Outpatient Mental health, we deliver care consistent with that received at our main facility. We recognize that a high percentage of our clients are better served close to their homes. To start, please visit our website to fill out our referral form or call us to initiate intake process.Serving Medi-Cal beneficiaries ages 0-21 and their families."
Riverside Intensive Outpatient Mental Health,speaks,['English']
Riverside Intensive Outpatient Mental Health,costs,Reduced Cost
Riverside Intensive Outpatient Mental Health,has_Google_Reviews,True
Riverside Intensive Outpatient Mental Health,covers,"This program covers residents of the following counties: Riverside County, CA."
Riverside Intensive Outpatient Mental Health,zipcode_is,92506.0
Riverside Intensive Outpatient Mental Health,24hours_status_is,False
Riverside Intensive Outpatient Mental Health,serves,"['young adults', 'teens', 'infants', 'children', 'families', 'with children', 'benefit recipients', 'all mental health'], ['For Medi-Cal beneficiaries ages 0-21 and their families.']"
Riverside Intensive Outpatient Mental Health,socials_are,"https://www.facebook.com/CaliforniaMENTOR, https://www.twitter.com/https://twitter.com/MentorsWanted"
Riverside Intensive Outpatient Mental Health,coordinates_are,"33.9428054, -117.3915285"
Riverside Intensive Outpatient Mental Health,is_open_from,"9:00 AM - 5:00 PM  PST, 9:00 AM - 5:00 PM  PST, 9:00 AM - 5:00 PM  PST, 9:00 AM - 5:00 PM  PST, 9:00 AM - 5:00 PM  PST, Closed, Closed"
Set-4-School,main_services_are,"['specialized therapy', 'counseling', 'family counseling']"
Set-4-School,phone_number_is,951-358-6895
Set-4-School,website_is,https://www.rcdmh.org/set4school
Set-4-School,is_located_at,"3075 Myers Street, Riverside, CA 92503"
Set-4-School,url_is_located_at,"https://www.google.com/maps/?q=3075+Myers+Street,+Riverside,+CA+92503/"
Set-4-School,has_an_availability_status_of,available
Set-4-School,description_is,"Riverside University Health System's Set-4-School program is a mental health initiative that provides a comprehensive continuum of early identification, early intervention, and treatment services designed to promote social competence and decrease the development of disruptive behavior disorders among children ages 0-5.This program provides:- Parent-child interaction therapy (PCIT)- Trauma focused cognitive behavioral therapy (TF-CBT)Contact the provider to complete an intake over the phone. Please note there may be a delay between completing an intake and getting connected to a clinicians. Services are provided on availability of clinicians."
Set-4-School,speaks,['English']
Set-4-School,costs,Free
Set-4-School,has_Google_Reviews,True
Set-4-School,covers,"This program covers residents of the following counties: Riverside County, CA."
Set-4-School,zipcode_is,92503.0
Set-4-School,24hours_status_is,False
Set-4-School,serves,"['school-aged children', 'toddlers', 'infants <1', 'individuals', 'families', 'with children', 'uninsured', 'underinsured', 'parents', 'trauma survivors'], ['This program serves infants, toddlers, and children aged 0-5.5 years old.', 'Must be a Riverside County resident.']"
Set-4-School,coordinates_are,"33.9094537, -117.4410501"
Set-4-School,is_open_from,"8:00 AM - 4:30 PM  PST, 8:00 AM - 4:30 PM  PST, 8:00 AM - 4:30 PM  PST, 8:00 AM - 4:30 PM  PST, 8:00 AM - 3:30 PM  PST, Closed, Closed"
Veterans Crisis Line,main_services_are,"['specialized therapy', 'mental health care', 'support network']"
Veterans Crisis Line,phone_number_is,988
Veterans Crisis Line,website_is,https://orwfoundation.org/
Veterans Crisis Line,has_an_availability_status_of,available
Veterans Crisis Line,description_is,"Operation Red Wings Foundation provides therapeutic Post-Traumatic Growth Program for Service Members (SM)/Vets from all military branches and service eras, along with their families, who are struggling with mild combat trauma, PTSD, mild traumatic brain injury, chronic pain issues and caregiver sStress.Our participants experience:- Accelerated Resolution Therapy- Trauma-Informed Yoga- Group Educational Classes- Alpha-Stim, and moreWe will use multiple therapeutic tools not typically offered by government programs to focus on relief from the symptoms of invisible wounds. At the end of your session, we will help you decide which tools work the best for you and we will help you make a plan for continued healing once you get home.  Our facilities are large, specially-designed houses in Crystal Beach, Texas and Fayetteville, North Carolina taking advantage of peaceful natural environments and designed to make you feel comfortable while encouraging comradery with the other participants.Operation Red Wings Foundation covers all expenses for each program with funds donated by generous sponsors, so there are no costs for those who attend and we will take care of your travel expenses. LSF Program Staff will coordinate with service members, veterans and unit commanders to make travel arrangements. For those who live nearby and drive to the facility, we offer mileage reimbursement.Visit our website to sumbit your online application. Upon receipt, you will be asked to supply a copy of your DD214 and a signed referral form from a healthcare provider stating that this program is appropriate for you at this point in your recovery process. You will then be contacted by our Behavioral Health Coordinator to discuss more details and to schedule your program."
Veterans Crisis Line,speaks,['English']
Veterans Crisis Line,costs,Free
Veterans Crisis Line,has_Google_Reviews,True
Veterans Crisis Line,covers,"This program covers residents of the following states: AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI and WY."
Veterans Crisis Line,24hours_status_is,False
Veterans Crisis Line,serves,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families', 'with children', 'caregivers', 'spouses', 'brain injury', 'ptsd'], ['Our Post-traumatic Growth program is for active-duty service members and veterans who have deployed to a combat zone.', 'A DD214 or other Proof of Service is needed', 'The veteran will be required to provide a signed form from a healthcare provider that states that the LSF Program is appropriate for them.', 'Applicants must be willing and able to interact in a group environment and to have a roommate.', 'Applicants must be able to administer their own medication if applicable.', 'Any applicants who have experienced substance misuse or abuse must have at least six months of recovery prior to attending the program.']"
Veterans Crisis Line,socials_are,"https://www.facebook.com/lonesurvivorfoundation/, https://www.twitter.com/https://twitter.com/LS_Foundation"
Veterans Crisis Line,is_open_from,"5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 9:00 AM  PST, Closed, Closed"
Her Journey,main_services_are,"['understand mental health', 'navigating the system', 'support network', 'spiritual support', 'virtual support', 'more education']"
Her Journey,phone_number_is,503-846-9284
Her Journey,website_is,https://abuserecovery.org/her-journey/
Her Journey,has_an_availability_status_of,available
Her Journey,description_is,"Her Journey is a 15-week, faith-based class designed to meet weekly and assist women in healing from current or past abusive or controlling relationships. Lessons include topics such as:- Understanding abuse- Boundaries- Depression- Believing in your True Value- Submission vs Depression- Learning to Dream Again- Many more!Classes are free to attendees (paid for by donations) and you may begin at anytime and continue as often as needed.This program is open to women ages 14 and up, and participants can join at any time. Her Journey is available virtually nationwide, and in-person at select locations. Visit the website for more information and to see if there is an in-person location near you."
Her Journey,speaks,"['English', 'Russian', 'Spanish']"
Her Journey,costs,Free
Her Journey,has_Google_Reviews,True
Her Journey,covers,This program covers residents of All US states and territories.
Her Journey,24hours_status_is,False
Her Journey,serves,"['adults', 'young adults', 'teens', 'seniors', 'female', 'individuals', 'domestic violence survivors'], ['This program helps people who are older than 13 years old.']"
Her Journey,socials_are,https://www.facebook.com/AbuseRecovery/
Her Journey,is_open_from,"8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, 8:00 AM - 5:00 PM  PST, Closed, Closed"
California Baptist University Counseling Center,main_services_are,"['counseling', 'mental health care', 'family counseling', 'individual counseling', 'navigating the system']"
California Baptist University Counseling Center,other_services_are,['spiritual support']
California Baptist University Counseling Center,phone_number_is,951-343-5050
California Baptist University Counseling Center,website_is,https://calbaptist.edu/counseling-center/
California Baptist University Counseling Center,is_located_at,"3626 Monroe Street, Riverside, CA 92504"
California Baptist University Counseling Center,url_is_located_at,"https://www.google.com/maps/?q=3626+Monroe+Street,+Riverside,+CA+92504/"
California Baptist University Counseling Center,has_an_availability_status_of,available
California Baptist University Counseling Center,description_is,"The California Baptist University Counseling Center provides Christ-centered, biblically based, psychologically sound therapy to allow CBU students to be free to live their purpose and have a godly impact in the world.This program provides:- Mental health check-ups- Short-term individual, couples or family therapy- Helpful resources"
California Baptist University Counseling Center,speaks,['English']
California Baptist University Counseling Center,costs,Free
California Baptist University Counseling Center,has_Google_Reviews,True
California Baptist University Counseling Center,covers,"This program covers residents of the following counties: Riverside County, CA."
California Baptist University Counseling Center,zipcode_is,92504.0
California Baptist University Counseling Center,24hours_status_is,False
California Baptist University Counseling Center,serves,"['adults 18+', 'students', 'individuals', 'families', 'all mental health'], ['Must be a student at California Baptist University.']"
California Baptist University Counseling Center,socials_are,"https://www.facebook.com/CalBaptist, https://www.twitter.com/@calbaptist"
California Baptist University Counseling Center,coordinates_are,"33.9256241, -117.4298967"
California Baptist University Counseling Center,is_open_from,"8:00 AM - 5:00 PM, 8:00 AM - 5:00 PM, 8:00 AM - 5:00 PM, 8:00 AM - 5:00 PM, 8:00 AM - 5:00 PM, Closed, Closed"
Our House Youth Shelter Domestic Violence Hotline,main_services_are,"['temporary shelter', 'counseling', 'mental health care', 'case management', 'one-on-one support']"
Our House Youth Shelter Domestic Violence Hotline,other_services_are,"['meals', 'parenting education', 'personal hygiene', 'tutoring']"
Our House Youth Shelter Domestic Violence Hotline,phone_number_is,760-949-4357
Our House Youth Shelter Domestic Violence Hotline,website_is,https://familyassist.org/programs/our-house-my-place/
Our House Youth Shelter Domestic Violence Hotline,has_an_availability_status_of,available
Our House Youth Shelter Domestic Violence Hotline,description_is,"The Family Assistance Program's Our House Youth Shelter provides shelter services for youth ages 11-17. Our House strives to create a warm and inviting home environment to provide a safe space for homeless youth in need.This program provides: - Temporary Shelter- Food- Showers- Parent educationIntake procedures begin with a phone call. All situations are evaluated on an individual basis. In the unique circumstance that Our House is not the best program to accommodate the youth, an appropriate referral will be given.Collaboration between the family counselor, the shelter manager, and the youth and family will determine the length of time needed to find the best resolution for the all involved."
Our House Youth Shelter Domestic Violence Hotline,speaks,"['English', 'Spanish']"
Our House Youth Shelter Domestic Violence Hotline,costs,Free
Our House Youth Shelter Domestic Violence Hotline,has_Google_Reviews,True
Our House Youth Shelter Domestic Violence Hotline,covers,"This program covers residents of the following counties: Riverside County, CA and San Bernardino County, CA."
Our House Youth Shelter Domestic Violence Hotline,24hours_status_is,True
Our House Youth Shelter Domestic Violence Hotline,serves,"['teens', 'children', 'families', 'with children', 'homeless', 'near homeless', 'runaways', 'domestic violence survivors', 'in crisis'], ['This program helps people who are 11 to 17 years old.', 'Must be willing to participate in the program.']"
Our House Youth Shelter Domestic Violence Hotline,socials_are,https://www.facebook.com/FAPYouthShelters
23V Recon,main_services_are,"['exercise & fitness', 'mental health care', 'anger management', 'counseling', 'group therapy', 'recreation', 'support network', 'peer support']"
23V Recon,phone_number_is,218-460-2323
23V Recon,website_is,https://23rdveteran.org/23v-reconditioning/
23V Recon,has_an_availability_status_of,available
23V Recon,description_is,"23V Recon is a unique program works to recondition our veterans to live happy, successful lives. 23V Recon starts with a week-long journey to Outward Bound. Veterans from a local area begin with a flight to a distant state where we spend 6+ days backpacking, rock climbing, canoeing, or sailing. This program provides:- Trauma focused mental health care- Outdoor physical activityThe 14-week Reconditioning Program includes: - Week-long adventure with Outward Bound - 3x week crossfit and positive psychology - Simple daily homework - Fireteam accountability - Local community experiences Please check the website for upcoming events."
23V Recon,speaks,['English']
23V Recon,costs,Free
23V Recon,has_Google_Reviews,True
23V Recon,covers,This program covers residents of the following states: CA and MN.
23V Recon,24hours_status_is,False
23V Recon,serves,"['adults 18+', 'veterans', 'trauma survivors'], ['Must be serving in the military or be a veteran.']"
23V Recon,socials_are,https://www.facebook.com/23rdveteran/
23V Recon,is_open_from,"6:00 AM - 2:00 PM  PST, 6:00 AM - 2:00 PM  PST, 6:00 AM - 2:00 PM  PST, 6:00 AM - 2:00 PM  PST, 6:00 AM - 2:00 PM  PST, Closed, Closed"
1st Way Life Center Hotline,main_services_are,"['counseling', 'navigating the system', 'help hotlines']"
1st Way Life Center Hotline,other_services_are,"['help pay for healthcare', 'baby supplies', 'baby clothes', 'pregnancy tests', 'adoption counseling']"
1st Way Life Center Hotline,phone_number_is,800-848-5683
1st Way Life Center Hotline,website_is,https://1stwaylifecenter.com/
1st Way Life Center Hotline,has_an_availability_status_of,available
1st Way Life Center Hotline,description_is,1st Way Life Center Hotline directs you to the programs and people that can work with you and help you find the resources you need in your community. Our hotline operators are specially trained to listen and provide compassionate counseling.This program provides:- 24/7 Hotline- Compassionate counseling- Connection to resources you need in your community The National Life Center is a pro-life organization.
1st Way Life Center Hotline,speaks,['English']
1st Way Life Center Hotline,costs,Free
1st Way Life Center Hotline,has_Google_Reviews,True
1st Way Life Center Hotline,covers,This program covers residents of All 50 states.
1st Way Life Center Hotline,24hours_status_is,True
1st Way Life Center Hotline,serves,"['adults', 'young adults', 'teens', 'female', 'pregnant'], []"
1st Way Life Center Hotline,socials_are,"https://www.facebook.com/1stwaywoodbury, https://www.twitter.com/@1stwaylife"
Family Urgent Response System (FURS),main_services_are,"['counseling', 'support network', 'virtual support']"
Family Urgent Response System (FURS),other_services_are,['mental health care']
Family Urgent Response System (FURS),phone_number_is,833-939-3877
Family Urgent Response System (FURS),website_is,https://senecafoa.org/family-urgent-response-system-furs/
Family Urgent Response System (FURS),has_an_availability_status_of,available
Family Urgent Response System (FURS),description_is,"The FURS program provides crisis stabilization and support to at-risk youth and their families during situations of instability. Callers to the FURS statewide, 24-hour hotline are assessed and offered phone counseling and intervention to establish safety and stabilization, while trained counselors provide support in deescalating and addressing the caller’s situation, resolving conflicts, and assessing risk and safety.This program provides:- Crisis services"
Family Urgent Response System (FURS),speaks,['English']
Family Urgent Response System (FURS),costs,Free
Family Urgent Response System (FURS),has_Google_Reviews,True
Family Urgent Response System (FURS),covers,This program covers residents of the following states: CA.
Family Urgent Response System (FURS),24hours_status_is,True
Family Urgent Response System (FURS),serves,"['teens', 'school-aged children', 'criminal justice history', 'families', 'with children', 'caregivers', 'all mental health'], ['This program helps people who are younger than 21 years old']"
Family Urgent Response System (FURS),socials_are,https://www.facebook.com/SenecaFOA/
E-Motion Virtual Sacred Circles,main_services_are,"['bereavement', 'virtual support']"
E-Motion Virtual Sacred Circles,website_is,https://www.emotion-mc.org/sacred-circles
E-Motion Virtual Sacred Circles,has_an_availability_status_of,available
E-Motion Virtual Sacred Circles,description_is,"Sacred Circles are an opportunity for grievers to gather together to honor and turn toward a life-disrupting loss. These monthly circles, held via Zoom, are free and open to anyone who is looking for a brief but powerful encounter with their grief.This program provides:- Virtual grieving supportThis program is offered on the first Wednesday of every month. They offer two virtual circle times to accommodate different time zones - 9:04 a.m. EST and 9:04 a.m. PST. Their circles are intentionally short, roughly 5-10 minutes, and include a gently guided facilitation that centers on their values and on the power of movement, community and ritual.Please sign up for the appropriate time on their website based on your time zone. Sign up is required and entry will close at the start of the circle."
E-Motion Virtual Sacred Circles,speaks,['English']
E-Motion Virtual Sacred Circles,costs,Free
E-Motion Virtual Sacred Circles,has_Google_Reviews,True
E-Motion Virtual Sacred Circles,covers,This program covers residents of the following states: CA and MA.
E-Motion Virtual Sacred Circles,24hours_status_is,False
E-Motion Virtual Sacred Circles,serves,"['all ages', 'grieving'], ['This program serves those who are grieving the loss of a person in their life.']"
E-Motion Virtual Sacred Circles,socials_are,https://www.facebook.com/people/E-Motion-Inc/61558253593291/
E-Motion Virtual Sacred Circles,is_open_from,"Closed, Closed, 6:04 AM or 9:04 AM PST, Closed, Closed, Closed, Closed"
Cure Childhood Cancer,main_services_are,"['bereavement', 'counseling', 'mental health care', 'family counseling', 'individual counseling', 'virtual support']"
Cure Childhood Cancer,phone_number_is,770-986-0035
Cure Childhood Cancer,website_is,https://curechildhoodcancer.org/family-support/counseling/
Cure Childhood Cancer,has_an_availability_status_of,available
Cure Childhood Cancer,description_is,"CURE Childhood Cancer provides low-cost counseling services to address the unique psychological needs of families affected by childhood cancer, LCH, HLH, or aplastic anemia. CURE provides sessions for the patient, parent, or sibling of eligible families in any combination to best support the family’s needs: individual counseling, couples counseling, family counseling, etc.This program provides:- CounselingCounseling may be provided in-person or virtually based on the family's preference. The first session is free; for each session thereafter, the family will pay the therapist directly a $25.00 co-pay per session. The sessions are considered a once-per-lifetime benefit and do not renew."
Cure Childhood Cancer,speaks,"['English', 'Spanish']"
Cure Childhood Cancer,costs,Reduced Cost
Cure Childhood Cancer,has_Google_Reviews,True
Cure Childhood Cancer,covers,"This program covers residents of the following states: AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI and WY."
Cure Childhood Cancer,24hours_status_is,False
Cure Childhood Cancer,serves,"['teens', 'school-aged children', 'preschoolers', 'toddlers', 'infants <1', 'grieving', 'cancer', 'terminal illness', 'chronic illness', 'families', 'with children', 'limited english'], ['This program serves families that have a child diagnosed with, relapsed with, or passed away from cancer, LCH, HLH, or aplastic anemia.']"
Cure Childhood Cancer,socials_are,https://www.facebook.com/curechildhoodcancer/
Cure Childhood Cancer,is_open_from,"5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, 5:00 AM - 2:00 PM  PST, Closed, Closed"
Project Welcome Home Troops SKY Resilience Training,main_services_are,"['health education', 'understand mental health']"
Project Welcome Home Troops SKY Resilience Training,phone_number_is,202-642-4248
Project Welcome Home Troops SKY Resilience Training,website_is,https://projectwelcomehometroops.org/power-breath-meditation-workshop/
Project Welcome Home Troops SKY Resilience Training,has_an_availability_status_of,available
Project Welcome Home Troops SKY Resilience Training,description_is,"The SKY Resilience Training provides breath-based tools that decrease the stress, anxiety and sleep problems that many veterans experience. Course participants notice an improvement in relationships and an enhanced sense of mental clarity and well-beingThis program provides:- Health EducationSKY Resilience Training is offered complimentary to veterans, active duty military members, first responders and their immediate family over the age of 18 years."
Project Welcome Home Troops SKY Resilience Training,speaks,['English']
Project Welcome Home Troops SKY Resilience Training,costs,Free
Project Welcome Home Troops SKY Resilience Training,has_Google_Reviews,True
Project Welcome Home Troops SKY Resilience Training,covers,"This program covers residents of the following states: WA, WI, WV, FL, WY, NH, NJ, NM, NC, ND, NE, NY, RI, NV, CO, CA, GA, CT, OK, OH, KS, SC, KY, OR, SD, DE, DC, HI, TX, LA, TN, PA, VA, AK, AL, AR, VT, IL, IN, IA, AZ, ID, ME, MD, MA, UT, MO, MN, MI, MT and MS."
Project Welcome Home Troops SKY Resilience Training,24hours_status_is,False
Project Welcome Home Troops SKY Resilience Training,serves,"['adults 18+', 'active duty', 'national guard', 'veterans', 'individuals', 'families'], ['This program serves veterans, active duty military members, first responders and their immediate family.', 'This program helps people who are older than 17 years old.']"
Project Welcome Home Troops SKY Resilience Training,socials_are,https://www.facebook.com/ProjectWelcomeHomeTroops
Project Welcome Home Troops SKY Resilience Training,is_open_from,"Closed, Closed, 6:30 PM - 9:00 PM, 6:30 PM - 9:00 PM, 6:30 PM - 9:00 PM, 10:00 AM - 1:00 PM, 10:00 AM - 1:00 PM"
Amala Hopeline,main_services_are,"['counseling', 'help hotlines', 'peer support']"
Amala Hopeline,phone_number_is,855-952-6252
Amala Hopeline,website_is,https://amala.mas-ssf.org/
Amala Hopeline,has_an_availability_status_of,available
