Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Men's Shelter,https://www.auntbertha.com//the-veterans-group--philadelphia-pa--men%2527s-shelter/6710596967858176?postal=19114,['temporary shelter'],"['meals', 'counseling', 'government benefits', 'help find work', 'more education', 'skills & training', 'computer class', 'resume development']","['adults 18+', 'veterans', 'homeless', 'ptsd']",215-222-4379,http://www.theveteransgroup.org,"3209 Baring St, Philadelphia, PA 19104","https://www.google.com/maps/?q=3209+Baring+St,+Philadelphia,+PA+19104/","['This program helps people who are older than 17 years old.', 'Must have a referral from your local VA.']",available,"The Veterans Group's Men's Shelter provide shelter for up to 41 men, providing them with a roof over their head, warm meals, and a variety of programs and services.This program provides:- ShelterShelter residents will receive: - Meals- PTSD counseling- Basic skills training",['English'],Free,TRUE,https://www.facebook.com/search/results.php?q=the%20veterans%20group&init=quick&tas=0.9926988141674462#!/pages/The-Veterans-Group/144681825577008,https://www.twitter.com/@veterans_group,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9619069,-75.189052,19104.0,FALSE,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,Closed,Closed
Human Services,https://www.auntbertha.com//african-family-health-organization-%2528afaho%2529--philadelphia-pa--human-services/5355967947210752?postal=19114,"['temporary shelter', 'food pantry', 'mental health care', 'navigating the system', 'case management']",,"['all ages', 'immigrants', 'refugees', 'individuals', 'families']",215-546-1232,http://afaho.org/human-services/,"2420 South 45th Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=2420+South+45th+Street,+Philadelphia,+PA+19143/",['This program serves African and Caribbean immigrants/refugees.'],available,"AFAHO’s multi-lingual and bi-cultural case managers assist clients in mitigating the myriad of barriers they face in accessing critical health and social services which play a vital role in their successful integration, improved health, and ability to be self-sufficient. This program provides:- Behavioral health - Domestic violence awareness and support- Housing assistance and monthly food assistance- Elders' programming- Individual case management- Family case management","['Arabic', 'English', 'French', 'Kinyarwanda', 'Swahili', 'Yoruba']",Free,TRUE,https://www.facebook.com/The-Salvation-Army-Nampa-Idaho-208522825852957/,https://www.twitter.com/@AFAHO,"This program covers residents of the following cities: Philadelphia, PA.",39.9454475,-75.2085961,19143.0,FALSE,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,Closed,Closed
Residential Maternity Shelter,https://www.auntbertha.com//mothers%2527-home--darby-pa--residential-maternity-shelter/6697255720189952?postal=19114,"['temporary shelter', 'safe housing']","['nutrition education', 'help find housing', 'baby supplies', 'health education', 'parenting education', 'individual counseling', 'financial education', 'skills & training']","['adults 18+', 'female', 'pregnant', 'homeless', 'near homeless']",610-583-4663,https://mothershome.org/,"51 North MacDade Blvd, Darby, PA 19023","https://www.google.com/maps/place/51+N+MacDade+Blvd,+Darby,+PA+19023/","['This program helps people who are older than 17 years old.', 'Must be a pregnant woman with no children currently in your care.']",available,"Mothers' Home provides a Residential Maternity Shelter and supportive services for pregnant women who are homeless or in crisis over the age of 18 who do not have other children in their care.This program provides: - Temporary housingWomen in the shelter have access to:- Life skills training- Parenting classes- Job readiness training- Counseling services- Pre and postnatal health education- Childbirth and development classes- Housing search assistance- Educational classes on budgeting, legal, and nutrition- Initial personal and baby supplies- Peer supportWomen may continue to reside in our Residential Maternity Shelter for up to six months after giving birth.",['English'],Free,TRUE,https://www.facebook.com/mothershomeshelter,,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",,,,FALSE,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,Closed,Closed
Emergency Food & Shelter Services,https://www.auntbertha.com//pathstone--rochester-ny--emergency-food-%2526-shelter-services/5923475565576192?postal=19114,"['emergency food', 'temporary shelter']",,"['all ages', 'immigrants', 'refugees', 'undocumented', 'low-income', 'emergency']",585-340-3300,https://pathstone.org/workforce-development/,,,"['Must be a migrant or seasonal farmworker, or other rural disadvantaged person.', 'Must reside in the coverage area.']",available,"PathStone provides one-time emergency services for migrant and seasonal farmworkers, and other rural disadvantaged people, who may not be eligible for other emergency services.This program provides: - Emergency food- Emergency shelter",['English'],Free,TRUE,https://www.facebook.com/pathstonecorp/,https://www.twitter.com/@PathStoneCorp,"This program covers residents of the following states: NJ, NY, OH, PA and PR.",,,,FALSE,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,Closed,Closed
Various Community Events & Programs,https://www.auntbertha.com//conquerors-community-development-corporation-%2528ccdc%2529--philadelphia-pa--various-community-events-%2526-programs/5390636500647936?postal=19124,"['community support services', 'weather relief', 'exercise & fitness', 'recreation', 'computer or internet access']","['community support services', 'weather relief', 'exercise & fitness', 'recreation', 'computer or internet access']","['anyone in need', 'all ages', 'adults', 'young adults', 'teens', 'infants', 'children', 'seniors', 'adults 18+', 'criminal justice history', 'covid19', 'dropouts', 'students', 'employed', 'retirement', 'unemployed', 'female', 'male', 'individuals', 'families', 'with children', 'home owners', 'home renters', 'near homeless', 'benefit recipients', 'low-income', 'uninsured', 'underinsured', 'caregivers', 'spouses', 'dependents', 'fathers', 'mothers', 'parents', 'in crisis', 'in danger', 'emergency']",215-474-2717,https://www.vccphilly.org/ccdc.php,"5220 Whitby Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=5220+Whitby+Avenue,+Philadelphia,+PA+19143/",[],full,"The Conquerors Community Development Corporation (CCDC) hosts Various Community Events & Programs that help to elevate the quality of life for the West and Southwest Philadelphia communities.  We host the 51st Ward Register Community Organization (RCO) Mondays 6pm-8pm and a number of other Community engagement events throughout the year with the following being held annually:1) Community Health Fair – A host of healthcare agencies provide access to a wide-range of information and services for our neighbors.2) Back 2 School Community Day – The CCDC partners with Victory Christian Center for our back-to-school event which includes refreshments, activities and entertainment for kids, parents and guardians. We provide information about programs and services for children, new backpacks, and school supplies.3) Senior Thanksgiving Luncheon – In partnership with the United Block Captains Association (UBCA) and Victory Christian Center, we host a Thanksgiving Dinner style luncheon for the senior in the neighborhood.4) Christmas at Victory Village – Through our annual Toy Drive at Victory Christian Center and with Coats received from the YMCA in partnership with Auto Dealers CARing for Kids Foundation, we provide a new coat, a toy, and book for children in need. This is a festive and lively event that includes food, music and entertainment for families during the holiday season.",['English'],Free,TRUE,https://www.facebook.com/CCDCPhilly/,https://www.twitter.com/@vcc_philly,"This program covers residents of the following cities: Philadelphia, PA.",39.9463281,-75.2273043,19143.0,FALSE,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,Closed,Closed
Youth Services,https://www.auntbertha.com//covenant-house-pennsylvania-%2528chp%2529--philadelphia-pa--youth-services/4909220273061888?postal=19124,"['temporary shelter', 'residential housing', 'short-term housing']","['meals', 'medical care', 'counseling', 'financial education', 'navigating the system', 'case management', 'one-on-one support', 'spiritual support', 'advocacy & legal aid']","['young adults', 'teens', 'children', 'homeless', 'runaways', 'human trafficking survivors', 'in crisis', 'lgbtqia+']",888-829-1249,https://www.covenanthousepa.org/our-impact/our-programs,"31 East Armat St. , Philadelphia, PA 19144","https://www.google.com/maps/?q=31+East+Armat+St.+,+Philadelphia,+PA+19144/",['This program helps people who are younger than 21 years old'],available,"Covenant House Pennsylvania offers shelter and supportive services to young people experiencing homelessness. They aim to help homeless young people become healthy, happy, responsible, productive, and ultimately independent adults.This program provides:- A safe, secure environment- Immediate and transitional housing- Rapid rehousing- Meals and food- Case Management- Spiritual Support- Counseling- Physical health, mental health, and drug and alcohol services- Saving and budgeting- Continuing education- Support for LGBTQ individuals- Job readinessThe Crisis Center is open 24 hours per day, seven days per week. There are no shelter fees; however, those staying at the shelter must deposit 75% of their income during their stay. All money is returned upon leaving the shelter. Covenant House is a drug and weapon-free program.",['English'],Free,TRUE,https://www.facebook.com/CovenantHousePA,https://www.twitter.com/@CovenantHousePA,"This program covers residents of the following counties: Philadelphia County, PA.",40.0356453,-75.1733712,19144.0,TRUE,,,,,,,
Homeless Shelter,https://www.auntbertha.com//stenton-family-manor--philadelphia-pa--homeless-shelter/5186727883833344?postal=19124,['temporary shelter'],"['meals', 'personal hygiene']","['all ages', 'homeless']",,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F,"1300 East Tulpehocken Street, Philadelphia, PA 19138","https://www.google.com/maps/?q=1300+East+Tulpehocken+Street,+Philadelphia,+PA+19138/","['For homeless individuals residing in the Philadelphia, PA area.']",available,Stenton Family Manor offers a homeless shelter to those in need of a place to stay.This program provides:- Temporary shelter Intake process is done at the Apple Tree Family Center.,"['English', 'Haitian']",Free,TRUE,https://www.facebook.com/StentonFamilyManor,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0563961,-75.1641601,19138.0,FALSE,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,9:00 AM - 5:00 PM  EST,Closed,Closed
Red Shield Family Residence,https://www.auntbertha.com//the-salvation-army---greater-philadelphia--philadelphia-pa--red-shield-family-residence/6004150434004992?postal=19124,"['temporary shelter', 'case management']",,"['adults 18+', 'individuals', 'families', 'with children', 'homeless']",215-787-2887,https://easternusa.salvationarmy.org/eastern-pennsylvania/greater-philadelphia/red-shield-family-residence/,"715 North Broad Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=715+North+Broad+Street,+Philadelphia,+PA+19123/",['Serves families seeking emergency housing.'],available,"Centralized Homeless Intake Services includes an assessment of eligibility and service needs of persons and families presenting for placement into emergency housing. If eligible, persons and families are placed in appropriate emergency housing, boarding homes, or other alternative housing. Mental health assessments and referrals to drug/alcohol treatment, health services, children and youth services, legal services and veteran’s services, etc., are provided as needed.This program provides:- Temporary shelter- Ongoing case management services- Assistance with obtaining transitional and/or permanent housing- Supportive housing for special populations- An optional savings program which allows households to save a part of their income for future housing expensesIf you are currently experiencing homelessness, please call during business hours. You must go through central intake for an initial assessment of your housing needs before placement into the homeless housing system.",['English'],Free,TRUE,https://www.facebook.com/SalArmyPhilly,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",39.9676669,-75.1598736,19123.0,TRUE,,,,,,,
Overnight Services,https://www.auntbertha.com//horizon-house--philadelphia-pa--overnight-services/6301124945248256?postal=19124,['temporary shelter'],"['meals', 'personal hygiene', 'mental health evaluation', 'one-on-one support']","['adults 18+', 'homeless']",215-386-3838,https://www.hhinc.org/homeless-services-overview/emergency-housing/,"5901 Market Street, Philadelphia, PA 19136","https://www.google.com/maps/?q=5901+Market+Street,+Philadelphia,+PA+19136/",['This program serves homeless individuals.'],available,"The Horizon House Navigation Center in West Philadelphia offers a variety of support services to homeless adults all year round. Here, people have a safe haven to meet their basic needs. The center is open 7 p.m. to 6 a.m. and is available on a drop-in basis.  Services include:- Temporary shelter- Food- Shower- Clean clothing- Laundry facilities- Medical and psychiatric assessments- Case managementExtended daytime hours are available two days/week for medical and psychiatric assessments and referral services. Case management services are offered to link individuals with appropriate housing, benefits, medical care and treatment services.For more information, please call at 215-386-3838, ext. 12603",['English'],Reduced Cost,TRUE,https://www.facebook.com/horizonhouseinc/?fref=ts,,"This program covers residents of the following counties: Philadelphia County, PA.",39.962058,-75.2391324,19136.0,FALSE,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST,7:00 PM - 6:00 AM  EST
Homeless Veterans Initiative,https://www.auntbertha.com//disabled-american-veterans-%2528dav%2529--cold-spring-ky--homeless-veterans-initiative/6359041064304640?postal=19106,"['temporary shelter', 'government benefits']",,['veterans'],877-426-2838,https://www.dav.org/get-help-now/veteran-topics-resources/homeless-veterans-assistance/,,,['Serves homeless veterans.'],available,"The DAV Homeless Veterans Initiative, supported by DAV’s Charitable Service Trust and Columbia Trust, promotes the development of supportive housing and necessary services to assist homeless veterans in becoming productive, self-sufficient members of society. Our goal is to establish a partnership between the DAV and Federal, state, county and local governments to develop programs to assist homeless veterans in becoming self-sufficient.

Service:

-counsel individuals on the many VA benefits for which they may be entitled

If you or someone you know is a homeless veteran in need of assistance, please contact us.",['English'],Free,TRUE,https://www.facebook.com/DAV,https://www.twitter.com/@DAVHQ,This program covers residents of All US states and territories.,,,,FALSE,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,8:00 AM - 5:00 PM  EST,Closed,Closed
Metanoia Refuge,https://www.auntbertha.com//metanoia%252C-inc.--zachary-la--metanoia-refuge/5811770958675968?postal=19106,"['temporary shelter', 'immediate safety']","['addiction & recovery', 'dental care', 'medical care', 'mental health care', 'medications for mental health', 'navigating the system', 'spiritual support', 'alternative education', 'skills & training']","['teens', 'children', 'female', 'pregnant', 'with children', 'trauma survivors', 'abuse or neglect survivors', 'human trafficking survivors']",,https://www.metanoia-inc.org/services,,,"['This program serves female adolescent victims of human trafficking.', 'Must not be HIV-positive.', 'This program helps people who are 11 to 17 years old.']",available,"Metanoia offers a place of refuge to female adolescent victims of human trafficking, in which to heal physically and mentally. The program provides girls aged 11-17 with mental, physical, and spiritual health, instruction in academics, life skills, and job training. Once girls reach 18, they can decide whether or not they would like to continue on with the program for additional time.This program provides:- Residential recovery housing Additional services include:- Academic assessments and individualized appropriate curriculum- Individual and group therapy (mental health, substance abuse, equine, canine)- Life skills training- Spiritual guidance (religious activities not required)- Community volunteer opportunities- Health care (medical and dental)- Psychiatric assessment and management of medication- Field Trips- Art, sewing, cooking skills, creative writing, dance, sports, and gardening activities- Employment skills introduction and transitional planningCase managers, service providers, legal guardians, and law enforcement referrals may be made on behalf of the youth. Metanoia assessment forms are required to be completed for consideration to the program. Duration of the stay is as long as needed, until age 18 or 21 with extended foster care. Emergency placement is not provided.Clients across the country are offered free transportation to get to the facility.","['English', 'French', 'Italian', 'Malayalam', 'Spanish', 'Tagalog']",Free,TRUE,,,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,FALSE,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
