Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Emergency Program (Precious Life Shelter),https://www.auntbertha.com//precious-life-shelter--los-alamitos-ca--emergency-program/5585083018772480?postal=92620,"['temporary shelter', 'case management']","['baby supplies', 'personal care items', 'transportation', 'disease screening', 'counseling', 'std/sti treatment & prevention', 'understand government programs', 'navigating the system', 'more education']","['adults', 'pregnant', 'homeless', 'with children', 'female']",562-431-5025,https://www.preciouslifeshelter.org/emergency,,,"['Must be pregnant and be able to provide physician-signed proof of pregnancy with a due date.', 'Must be committed to a sober life as a resident.', 'This program helps people who are older than 17 years old.']",available,"The Precious Life Shelter emergency program is a short-term shelter program for pregnant women. The main goal of this program is to provide participants with all the educational and job resources we have available to them to help them to become self-reliant individuals.This program provides:- Emergency shelter- Case managementParticipants in this program may also benefit from:- Personal Necessities- Mom's bag with baby layette (provided throughout pregnancy and after birth)- Baby items (car seat, stroller, etc.)- Counseling- Referrals- Birth Coach- Transportation- Support in applying for TANF, MediCal and WIC- STD/Tuberculosis testing- Job training programThis program also requires women to partake in case management and enroll for MediCal (if they have no insurance). Participants are also required to be tested for turberculosis (TB), and sexually transmitted diseases (STDs). Upon completion of this program, participants have the ability to access further resources, such as transitional housing, with Precious Life Shelter. Please visit the website to learn more.",['English'],Free,True,https://www.facebook.com/PreciousLifeShelter/,,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Women's And Children's Ministry (The Bible Tabernacle),https://www.auntbertha.com//the-bible-tabernacle--venice-ca--women%2527s-and-children%2527s-ministry/6040702663786496?postal=92620,['temporary shelter'],"['meals', 'clothing', 'case management']","['adults', 'young adults', 'teens', 'seniors', 'female', 'with children']",661-821-6116,http://thebibletabernacle.com/ministry/women-childrens/,"1761 Washington Way, Venice, CA 90291","https://www.google.com/maps/?q=1761+Washington+Way,+Venice,+CA+90291/","['Must Take part in a telephone interview at first contact.', 'Must have a willingness to make life changes.', 'Must be willing to participate in all classes, services and Bible readings.', 'Must adhere to Financial Management Program.', 'Must remove all body piercings, except earrings.', 'Must not be receiving General Relief.', 'Must not be on any psychotropic medications.', 'Must participate in work therapy.']",available,"The Bible Tabernacle in Venice is designed to house women with children, providing them with basic needs free of charge. The primary goal of the ministry is empowerment through the saving knowledge of the Lord Jesus Christ and a relationship with Christ which impacts every dimension of life.This program provides:- Temporary shelter- Clothing- Food",['English'],Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",33.9879884,-118.4626862,90291.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Mental Health Services (Child & Family Center),https://www.auntbertha.com//child-%2526-family-center--santa-clarita-ca--mental-health-services/6203252192313344?postal=92620,['mental health care'],"['navigating the system', 'support network', 'skills & training']","['children', 'families', 'uninsured', 'underinsured']",661-259-9439,http://www.childfamilycenter.org,"21545 Centre Pointe Parkway, Santa Clarita, CA 91350","https://www.google.com/maps/?q=21545+Centre+Pointe+Parkway,+Santa+Clarita,+CA+91350/",['Must have Medicare or Medicaid'],Not specified,"Mental Health Services provides clinic-and home-based mental health therapy services are available for families of children in the 0-5 age range that are exhibiting behavioral and social-emotional difficulties that are negatively impacting their development and ability to thrive.  The clinician supports the child and caregiver in strengthening their bond and empowering the parent to learn the skills needed to improve their child’s behavior and functioning.  Our team also supports families in linking to other services like special education, Regional Center, or community based resources, and provides developmental screening for all clients.  We currently serve children with Medi-Cal, Healthy Families and we offer a fee-for-service option for those without Medi-Cal.For more information call 661-259-9439",['English'],Reduced Cost,False,,https://www.twitter.com/@ChildFamilyCent,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",34.4129967,-118.5137171,91350.0,False,11:00AM – 23:00PM,11:00AM – 00:00AM,11:00AM – 23:00PM,11:00AM – 00:00AM,11:00AM – 21:00PM,12:00PM – 20:00PM,Closed,,Shelter
Treatment For addiction.Com (Treatment For addiction.Com),https://www.auntbertha.com//treatment-for-addiction.com--los-angeles-ca--treatment-for-addiction.com/5392562961514496?postal=92620,"['addiction & recovery', 'counseling', 'substance abuse counseling', 'mentoring']",,"['young adults', 'adults', 'seniors', 'male', 'female']",800-429-7294,http://www.treatment4addiction.com/,"8046 Gentry Ave., Los Angeles, CA 91605","https://www.google.com/maps/?q=8046+Gentry+Ave.,+Los+Angeles,+CA+91605/",[],Not specified,Treatment For addiction.Com offers substance abuse treatment which consists of administering behavioral modification therapy to chemically-dependent individuals in a bid to have them live drug free lives. For more details call  88-480-1703 or email [email protected].,['English'],Reduced Cost,False,https://www.facebook.com/treatment4addiction,https://www.twitter.com/@AddictionRehab,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.217159,-118.392659,91605.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Treatment Facility (Milestones Ranch Malibu),https://www.auntbertha.com//milestones-ranch-malibu--malibu-ca--treatment-facility/6355305382281216?postal=92620,"['addiction & recovery', 'residential treatment']",,"['adults', 'substance dependency']",,http://www.milestonesranch.com,"200 Vera Canyon Rd., Malibu, CA 90265","https://www.google.com/maps/?q=200+Vera+Canyon+Rd.,+Malibu,+CA+90265/",[],Not specified,Milestones Ranch Malibu is an inpatient; residential program for adults recovering from a substance abuse issue.Call 800-791-6859 for more information.,['English'],Free,False,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.0927987,-118.8185353,90265.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Project Believe (Sunrise Community Counseling Center),https://www.auntbertha.com//sunrise-community-counseling-center--los-angeles-ca--project-believe/4533771403657216?postal=92620,"['personal safety', 'disease screening', 'exercise & fitness', 'individual counseling', 'sexual and reproductive health']",,"['young adults', 'teens', 'children', 'male', 'all mental health', 'lgbtqia+']",213-207-2770,https://sunriseccc.org/project-believe/,"537 South Alvarado Street, Los Angeles, CA 90057","https://www.google.com/maps/?q=537+South+Alvarado+Street,+Los+Angeles,+CA+90057/","['This program serves gay, bi, pan, queer, questioning and trans young men.', 'This program helps people who are 12 to 29 years old.']",temporarily closed,"Project Believe is an individual counseling program that provides free 1-on-1 sessions for gay, bi, pan, queer, questioning and trans young men between the ages of 12-29 years old.Services offered:- Individual counseling- HIV testing and treatment- Hepatitis B and C testing- Condoms and lube- Self-defense, yoga and jujitsu classes",['English'],Free,True,https://www.facebook.com/sunriseccc/,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.0601677,-118.2748918,90057.0,False,,,,,,,,,Shelter
"Hearing Dog (International Hearing Dog, Inc.)",https://www.auntbertha.com//international-hearing-dog%252C-inc.--henderson-co--hearing-dog/5848751764406272?postal=92620,['support & service animals'],,"['adults 18+', 'deaf or hard of hearing']",,https://paragonservicedogs.org/hearing-dog-program,,,"['This program helps people who are older than 17 years old.', 'Must have at least a 65 decibel hearing loss (unaided).', 'Must live alone or with other persons who are deaf or hard of hearing (IHDI will consider applicants who live with one hearing person).', 'Must not have another dog in the home (inside or outside).', 'Must be  physically and financially able and willing to care for and continue the training of a hearing dog.']",full,"International Hearing Dog provides hearing dog specifically selected and trained to alert people who are deaf or hard of hearing to sounds around them so they can feel safe and live independently. Services Provided:- Professionally hearing dog training and placementHearing dogs can alert to sounds of a door knock or doorbell, telephone, alarm clock, smoke alarm, and baby cry, if needed. The dogs will naturally respond to other sounds in their environment. As the relationship develops between the Hearing Dog and owner, the dog will alert to more and more sounds. From microwave dings to garbage disposal sounds, the Hearing Dog’s ability to grow in the job is remarkable.Hearing Dogs are placed at no cost to the recipient, but the recipient will be responsible for the certification fee of $250 which includes the certification paperwork, service hearing dog vest, collar, leash, and tags.Due to the high volume of clients on our wait list, which has grown to about two to three years, IHDI is putting a hold on accepting new applications so we can serve our current applicants in a timely manner. Check back for updates and when you can apply.",['English'],Free,True,https://www.facebook.com/internationalhearingdog/,,This program covers residents of All 50 states.,,,,False,,,,,,,,,Shelter
7-Part Holistic Healing Program (The Finley Project),https://www.auntbertha.com//the-finley-project--orlando-fl--7-part-holistic-healing-program/4910146097774592?postal=92620,"['bereavement', 'burial & funeral help', 'navigating the system', 'support network', 'peer support', 'support groups']","['help pay for food', 'individual counseling', 'navigating the system']","['adults', 'young adults', 'teens', 'grieving', 'female', 'pregnant', 'mothers', 'parents']",407-463-7576,https://www.thefinleyproject.org/,,,"['Must be a mom who birthed a child', 'The age of child was over 20 weeks gestation and up to 2 years of age then died', 'The loss of your child happened within the last 60 days']",full,"The Finley Project 7-Part Holistic Healing Program team provides a lifeline for mothers in the minutes, hours and days after infant loss that supports each mother physically, emotionally and spiritually at no financial cost to them.This program provides:- Help finding assistance with funeral arrangements- Grocery and food gift cards- House cleaning services- Massage therapy sessions- Support group placement in the mother's local area- Placement with a Licensed Mental Health Counselor- A Volunteer Support Coordinator, to help in every step along the journeyThe Finley Project Program is full and will not be accepting any moms until April 1st, 2023.There is no charge to participate in the program, just a willingness to participate in all areas the program offers. While they do not offer direct financial assistance for rent, utilities, or the cost of funerals, they can connect you with organizations who do.",['English'],Free,True,https://www.facebook.com/thefinleyproject/,https://www.twitter.com/@NoelleM64407601,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,False,,,,,,,,,Shelter
Inpatient programs and services - Psychiatric Inpatient Program (Huntington Hospital),https://www.auntbertha.com//huntington-hospital--pasadena-ca--inpatient-programs-and-services---psychiatric-inpatient-program/5740276433289216?postal=92620,['psychiatric emergency services'],,"['adults', 'young adults', 'teens', 'seniors', 'all mental health', 'depression']",626-397-2323,https://www.huntingtonhealth.org/our-services/mental-health/,"100 W California Blvd, Pasadena, CA 91105","https://www.google.com/maps/?q=100+W+California+Blvd,+Pasadena,+CA+91105/",['This program helps people who are older than 17 years old.'],Not specified,"Huntington Hospital's mission is to provide excellent health care and compassionate service to each person by bringing together outstanding physicians, caring nurses, professional staff and advanced technologies.Psychiatric Inpatient Program provides intensive psychiatric care to voluntary adult patients with acute psychiatric disorders, such as major depression, bipolar illness or schizophrenia. Patients are immersed in intensive daily treatment, with the goal of returning them to the familiar surroundings of home as quickly as possible. Therapeutic activities focus on issues of self-awareness, family matters, social skills and personal problem solving.",['English'],Reduced Cost,False,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.133639,-118.152753,91105.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Bartz-Altadonna Community Health Center (Bartz-Altadonna Community Health Center),https://www.auntbertha.com//bartz-altadonna-community-health-center--lancaster-ca--bartz-altadonna-community-health-center/5138359097229312?postal=92620,"['addiction & recovery', 'health education', 'family planning', 'medical care', 'primary care', 'hiv treatment', 'specialized therapy', 'individual counseling', 'parenting education']",,"['all ages', 'individuals', 'trauma survivors']",661-874-4050,http://bartz-altadonna-chc.org,"43322 Gingham Ave, Lancaster, CA 93535","https://www.google.com/maps/?q=43322+Gingham+Ave,+Lancaster,+CA+93535/",[],Not specified,"Bartz-Altadonna Community Health Center is committed to provide patient centered, trauma informed primary care services to all its patients. No one will be denied access to services due to inability to pay we offer a discounted sliding fee schedule and accept all types of health plans.Our service include: • Primary care• HIV care• Hepatitis care• Women’s Health• Reproductive Health and Family Planning• Individual Counseling• One day intensive grief and loss workshops• Art Therapy• Equine Therapy• Yoga Therapy• Healthy Attachments Group• Drug and Alcohol Dependency (Non court-ordered)• Grief and Loss Group• Brunch Club• Parenting Class• Plus other special groups for specific issues","['English', 'Spanish']",Reduced Cost,False,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.6701346,-118.1217289,93535.0,False,10:30AM – 21:30PM,10:30AM – 21:30PM,10:30AM – 21:30PM,10:30AM – 21:30PM,10:30AM – 21:30PM,Closed,Closed,,Shelter
Inpatient programs and services - Psychiatric Acute Treatment Program (Huntington Hospital),https://www.auntbertha.com//huntington-hospital--pasadena-ca--inpatient-programs-and-services---psychiatric-acute-treatment-program/4862652295151616?postal=92620,['psychiatric emergency services'],,"['adults', 'young adults', 'teens', 'seniors', 'all mental health']",626-397-2323,https://www.huntingtonhealth.org/,"100 W California Blvd, Pasadena, CA 91105","https://www.google.com/maps/?q=100+W+California+Blvd,+Pasadena,+CA+91105/",['This program helps people who are older than 17 years old.'],Not specified,"Huntingdon Hospital's mission is to provide excellent health care and compassionate service to each person by bringing together outstanding physicians, caring nurses, professional staff and advanced technologies.Psychiatric Acute Treatment Program provides a secure environment for the rapid diagnosis and treatment of adults who suffer from severe psychiatric disturbances. The program emphasizes crisis intervention, patient stabilization, acute therapy and medication management. Following the initial intervention period, the patient may be discharged to home, outpatient care or a less restrictive care setting. When appropriate, families are encouraged to participate in the patient's treatment.",['English'],Reduced Cost,False,,,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.133639,-118.152753,91105.0,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
