Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Human Services (African Family Health Organization),https://www.auntbertha.com//african-family-health-organization-%2528afaho%2529--philadelphia-pa--human-services/5355967947210752?postal=19131,"['temporary shelter', 'food pantry', 'mental health care', 'navigating the system', 'case management']",,"['all ages', 'immigrants', 'refugees', 'individuals', 'families']",215-546-1232,http://afaho.org/human-services/,"2420 South 45th Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=2420+South+45th+Street,+Philadelphia,+PA+19143/",['This program serves African and Caribbean immigrants/refugees.'],available,"AFAHO’s multi-lingual and bi-cultural case managers assist clients in mitigating the myriad of barriers they face in accessing critical health and social services which play a vital role in their successful integration, improved health, and ability to be self-sufficient. This program provides:- Behavioral health - Domestic violence awareness and support- Housing assistance and monthly food assistance- Elders' programming- Individual case management- Family case management","['Arabic', 'English', 'French', 'Kinyarwanda', 'Swahili', 'Yoruba']",Free,TRUE,https://www.facebook.com/The-Salvation-Army-Nampa-Idaho-208522825852957/,https://www.twitter.com/@AFAHO,"This program covers residents of the following cities: Philadelphia, PA.",39.9454475,-75.2085961,19143,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Marconi Older Adult Program (Caring People Alliance),https://www.auntbertha.com//caring-people-alliance--philadelphia-pa--marconi-older-adult-program/5718361092653056?postal=19131,"['meals', 'nutrition education', 'transportation', 'group therapy', 'community support services', 'recreation', 'navigating the system', 'one-on-one support', 'skills & training', 'computer class']",,"['seniors', 'individuals']",215-218-0800,https://www.caringpeoplealliance.org/our-programs/marconi-older-adult-program,"2433 South 15th Street, Philadelphia, PA 19145","https://www.google.com/maps/?q=2433+South+15th+Street,+Philadelphia,+PA+19145/",['This program helps people who are older than 49 years old.'],available,"The Marconi Older Adult Program offers meals and wide-ranging educational, social and recreational activities. Members take part in dance, art, theater, games, discussions and more to adults age 50 and over.Senior centers offer a wide variety of programs and services, including:- Meal and nutrition programs- Information and assistance- Health, fitness, and wellness programs- Transportation services- Technology classes- Group counseling- Trips- Social and recreational activities- Educational and arts programs- Intergenerational prograhey ask for a suggested yearly contribution of $25.",['English'],Reduced Cost,TRUE,https://www.facebook.com/caringpeoplealliance/,https://www.twitter.com/@cpalliance,"This program covers residents of the following cities: Philadelphia, PA.",39.9200204,-75.1720944,19145,FALSE,8:00AM - 6:00PM   ,8:00AM - 6:00PM   ,8:00AM - 6:00PM   ,8:00AM - 6:00PM   ,8:00AM - 6:00PM   ,Closed,Closed,4.5/5,Mental Health
Behavioral Health Services (Covenant House Inc.),https://www.auntbertha.com//covenant-house-inc.--philadelphia-pa--behavioral-health-services/5683092086849536?postal=19131,"['addiction & recovery', 'understand mental health', 'mental health evaluation', 'counseling', 'mental health care']",,"['all ages', 'all mental health', 'substance dependency', 'depression']",215-844-0181,http://covenanthousehealth.org,"251 E Bringhurst St, Philadelphia, PA 19144","https://www.google.com/maps/?q=251+E+Bringhurst+St,+Philadelphia,+PA+19144/",[],available,"Behavioral Health Services program offers depression counseling and management, behavioral health counseling and management and alcohol dependency management. Services include:- Behavioral HealthPayment methods include private insurance, medicaid/medicare, and sliding scale fees for uninsured clients.",['English'],Reduced Cost,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",40.034643,-75.164956,19144,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,2.4/5,Mental Health
Children and Adolescent Behavioral Health Rehabilitation Services (WES Health System),https://www.auntbertha.com//wes-health-system--philadelphia-pa--children-and-adolescent-behavioral-health-rehabilitation-services/5026565672140800?postal=19131,"['mental health evaluation', 'mental health care']","['navigating the system', 'support network', 'one-on-one support']","['teens', 'children', 'benefit recipients', 'all mental health']",215-456-2626,http://drwes.org/individuals-families/behavioral-health-rehabilitation-services/,"2514 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2514+North+Broad+Street,+Philadelphia,+PA+19132/","['This program helps people who are 5 to 21 years old.', 'Must go through an evaluation by a psychologist and approved by Community Behavioral Health before obtaining services.']",available,"Behavioral Health Rehabilitation Services, also known as Wraparound, are services for children and adolescents who may be experiencing mental and behavioral health challenges in their daily lives. Wraparound services are a shift from traditional mental health services provided in a therapist’s office, to services where the child normally is, in the home, school, or community. This program provides:- Wraparound services - building constructive relationships and support networks- ReferralMedicaid and Medicare accepted. Private pay available.  Obtaining BHRS services first requires an evaluation by a psychologist. The request is then submitted to CBH (Community Behavioral Health) for an approval. Given the child’s diagnosis, services can be approved for 6 months – 1 year, at a time.","['English', 'Vietnamese']",Reduced Cost,TRUE,https://www.facebook.com/weshealthsystems,https://www.twitter.com/@WESHealthSystem,"This program covers residents of the following cities: Philadelphia, PA.",39.9915494,-75.1555413,19132,FALSE,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,Closed,Closed,2.7/5,Mental Health
FamilyBased Mental Health Services (WES Health System),https://www.auntbertha.com//wes-health-system--philadelphia-pa--familybased-mental-health-services-%2528fbmhs%2529/5689617321033728?postal=19131,"['mental health care', 'support network']",,"['teens', 'children', 'families', 'benefit recipients', 'parents', 'all mental health']",215-456-2662,http://drwes.org/individuals-families/family-based-mental-health-services/,"2514 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2514+North+Broad+Street,+Philadelphia,+PA+19132/",['Must have Medicaid or Medicare.'],available,"FBMHS provides intense therapeutic interventions and support services to families of children or adolescents who have emotional disturbances. Our team works in close partnership with the child and his or her family to identify strengths, assess any areas of need, and collaborate to develop a treatment plan.Services offered:- Intense therapeutic interventions - Support services that further empower the familyWES Health System accepts Medicaid and Medicare.Potential clients need to be evaluated by WES’ Assessment & Evaluation Center in order to determine which service(s) should be utilized. For more information, please call the Assessment & Evaluation Center.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/weshealthsystems,https://www.twitter.com/@WESHealthSystem,"This program covers residents of the following counties: Philadelphia County, PA.",39.9915494,-75.1555413,19132,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,2.7/5,Mental Health
New Pathways Project (Public Health Management Corporation),https://www.auntbertha.com//public-health-management-corporation-%2528phmc%2529--philadelphia-pa--new-pathways-project/6379467169595392?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'medical care', 'checkup & test', 'disease screening', 'prevent & treat', 'counseling', 'group therapy', 'navigating the system', 'case management', 'support network']",,"['all ages', 'hiv/aids', 'individuals', 'limited english', 'substance dependency']",215-985-2526,https://www.phmc.org/site/programs/health-promotion/hiv-aids-prevention#npp,"2539 Germantown Avenue, Philadelphia, PA 19133","https://www.google.com/maps/?q=2539+Germantown+Avenue,+Philadelphia,+PA+19133/",['This program serves men and women seeking help with their drug and alcohol related problems.'],available,"Public Health Management Corporation (PHMC) offers a community-based pre-treatment recovery support program serving men and women seeking help with their drug and alcohol related problems. Individuals who are not ready to enter treatment receive recovery oriented culturally tailored support including referral to health care, mental health and social services.This program provides:- Enhanced individual pre-treatment counseling- Case management support services- Group psychoeducational and peer support sessions- On-site rapid HIV testing- As requested escort and referral to medical care- Substance abuse treatment","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/publichealthmanagementcorporation,https://www.twitter.com/@phmctweets,"This program covers residents of the following counties: Philadelphia County, PA.",39.9907117,-75.1478694,19133,FALSE,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,Closed,Closed,3.4/5,Mental Health
"Children's Outpatient Evaluation and Counseling (COMHAR, Inc.)",https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--children%2527s-outpatient-evaluation-and-counseling/5046548787101696?postal=19131,"['understand mental health', 'specialized therapy', 'medication management', 'mental health care', 'medications for mental health', 'mental health evaluation']",,"['teens', 'children', 'families', 'with children', 'caregivers', 'parents', 'all mental health']",267-861-4382,https://www.comhar.org/children-and-families,"2600 N. American Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2600+N.+American+Street,+Philadelphia,+PA+19133/","['Free for individuals who are uninsured.', 'Must have Medicaid.']",available,"COMHAR offers outpatient evaluation and counseling for youth beginning at age 5. Services are all focused on building familial strength and community support.  Services are available both for children with existing behavioral health diagnoses and for those whose families want them to be assessed.

This program provides:

- Psychiatric evaluation
- Medication management
- Family therapy
- Individual and group therapy 

COMHAR accepts Medicaid.","['English', 'Spanish']",Reduced Cost,TRUE,,,"This program covers residents of the following counties: Bucks County, PA, Burlington County, PA, Camden County, PA, Cecil County, PA, Chester County, PA, Delaware County, PA, Gloucester County, PA, Montgomery County, PA, New Castle County, PA, Philadelphia County, PA and Salem County, PA.",39.990206,-75.136872,19133,FALSE,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,9:00AM - 5:00PM  ,Closed,2.3/5,Mental Health
"Latino Treatment Program - Family Outpatient Evaluation and Counseling (COMHAR, Inc.)",https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--latino-treatment-program---family-outpatient-evaluation-and-counseling/6340256966115328?postal=19131,"['outpatient treatment', 'counseling', 'group therapy', 'family counseling', 'individual counseling']",,"['adults 18+', 'families', 'limited english', 'latino', 'all mental health']",267-861-4382,https://www.comhar.org/mental-health-wellness,"2600 North American Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2600+North+American+Street,+Philadelphia,+PA+19133/","['Must have Medicare or Medical Assistance.', 'This program helps people who are older than 4 years old.']",available,"COMHAR offers outpatient evaluation and counseling for children, adults and families whose primary language is Spanish. Services include:- Psychiatric evaluation- Medication management- Family therapy, individual and group therapy for childrenThis provider accepts Medicare as well as other insurance providers such as Medical Assistance, Community Behavioral Health, Cigna Health Springs, Keystone VIP First, Magellan Health Partners.","['English', 'Spanish']",Reduced Cost,TRUE,,,"This program covers residents of the following counties: Bucks County, PA, Burlington County, PA, Camden County, PA, Cecil County, PA, Chester County, PA, Delaware County, PA, Gloucester County, PA, Montgomery County, PA, New Castle County, PA, Philadelphia County, PA and Salem County, PA.",39.990206,-75.136872,19133,FALSE,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,9:00AM - 5:00PM  ,Closed,2.3/5,Mental Health
Integrated Services Supporting Independence (Volunteers of America Delaware Valley),https://www.auntbertha.com//volunteers-of-america-delaware-valley--philadelphia-pa--integrated-services-supporting-independence-%2528issi%2529/5868569196232704?postal=19131,"['mental health care', 'counseling', 'mental health evaluation', 'understand mental health', 'navigating the system', 'one-on-one support']",,"['adults', 'all mental health']",215-229-6434,http://www.voadv.org/behavioral-health,"2601 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2601+North+Broad+Street,+Philadelphia,+PA+19132/","['This program helps people who are older than 17 years old.', 'Must be a Philadelphia resident for at least six months.', 'Must be diagnosed with adult priority  targeted mental illness and referred by The Department of Behavioral Health.', 'Must be clean and sober for at least nine months and demonstrate a minimum proficiency in independent living.']",available,"Integrated Services Supporting Independence (ISSI) 14-bed residential program for mentally ill with co-occuring disorders providing case management, an integrated approach to treatment and rehabilitation, continuation of treatment and extended aftercare reintegration services as well as 24-hour case management. Due to Covid-19 visitation and access to the facilities is restricted until further notice.",['English'],Reduced Cost,TRUE,https://www.facebook.com/pages/VOLUNTEERS-OF-AMERICA-DELAWARE-VALLEY/115089443808,https://www.twitter.com/@voadv,"This program covers residents of the following counties: Philadelphia County, PA.",39.9923325,-75.154481,19132,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
Intensive Prevention Services (Philadelphia Anti-Drug/Anti-Violence Network),https://www.auntbertha.com//philadelphia-anti-drug-anti-violence-network-%2528paan%2529--philadelphia-pa--intensive-prevention-services-%2528isp%2529/5736693051949056?postal=19131,"['counseling', 'community support services', 'case management', 'one-on-one support']",,"['teens', 'children', 'students', 'individuals', 'families']",215-940-0550,https://www.paan1989.org/youth-violence-reduction-partners-y,"2700 North 17th Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2700+North+17th+Street,+Philadelphia,+PA+19132/",['This program helps people who are 10 to 17 years old.'],available,"IPS provides early intervention programming for boys and girls ages 10 to 17 years old who have been exhibiting at-risk behaviors in school, home or in the community, are having discipline problems at school or recurring conflicts at home, or have been diverted from possible arrest or formal court involvement.Services provided:- Case Management- Counseling- Site Based ProgrammingYouth attend after school activities to practice pro-social behavior with other young people.",['English'],Free,TRUE,https://www.facebook.com/PAANOrganization/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9952331,-75.1594176,19132,TRUE,,,,,,,,4.3/5,Mental Health
PeerNet Philadelphia (Mental Health Partnerships),https://www.auntbertha.com//mental-health-partnerships--philadelphia-pa--peernet-philadelphia/5768252828155904?postal=19131,"['mental health care', 'peer support']",,"['adults 18+', 'mentally incapacitated']",267-507-3470,https://www.mentalhealthpartnerships.org/program-objects/2017/4/12/peer-net,"2709 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2709+North+Broad+Street,+Philadelphia,+PA+19132/","['Must be deemed eligible under CBH managed care and have a serious mental health challenge.', 'Referral form would need to be submitted/completed by a Licensed practitioner of the healing arts (LPHA) once  eligibility is confirmed.']",available,"The Recovery Coach team provides enhanced Peer Support Services on a one to one basis in an effort to assist participants to move forward in their recovery, encourage the use of natural supports and community integration and empower individuals to self- direct their own recovery journey.Services:- Peer Support- Peer Recovery CoachingPlease call or stop by to inquire about our services. There is no cost to qualifying individuals. The referral form can be sent out once the perspective participant or the LPHA requests it.",['English'],Free,TRUE,https://www.facebook.com/pg/mhphope.org,https://www.twitter.com/@MHPHope,"This program covers residents of the following counties: Philadelphia County, PA and Bucks County, PA.",39.9943627,-75.1537402,19132,FALSE,8:00AM - 4:00PM   ,8:00AM - 4:00PM   ,8:00AM - 4:00PM   ,8:00AM - 4:00PM   ,8:00AM - 4:00PM   ,Closed,Closed,4.0/5,Mental Health
Prevention/Recovery Support Services (Gaudenzia),https://www.auntbertha.com//gaudenzia--philadelphia-pa--prevention-recovery-support-services/4692155605712896?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'mental health care', 'support network', 'one-on-one support', 'peer support', 'support groups']",,"['all ages', 'individuals', 'families', 'benefit recipients', 'caregivers', 'all mental health', 'substance dependency']",833-976-4357,https://www.gaudenzia.org/about/types-of-care/#withdrawal,"2721 North 5th Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2721+North+5th+Street,+Philadelphia,+PA+19133/",[],available,"Prevention/Recovery Support Services are available to give support to individuals in recovery and their families. The program also provides Substance Use Disorder prevention and education.Service provided:- Recovery support services- Prevention educationGaudenzia services are available to everyone, regardless of insurance. They also accept Medicaid and Medicare.",['English'],Reduced Cost,TRUE,https://www.facebook.com/gaudenziaorg/,https://www.twitter.com/@Gaudenzia,This program covers residents of the following states: PA.,39.9926895,-75.1397847,19133,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
"Children's Blended Case Management (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--children%2527s-blended-case-management/4980312141725696?postal=19131,"['mental health care', 'navigating the system', 'one-on-one support']",,"['teens', 'children', 'intellectual disability', 'benefit recipients', 'low-income', 'all mental health']",215-596-7100,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['This program helps people who are 6 to 17 years old.', 'Behavioral or mental health diagnosis.', 'Must meet income requirements or have Medicaid.', 'Will serve 21 year old if they are enrolled in school.', 'Must have a referral.']",available,"The Children’s Blended Case Management Unit provides assistance for children 6 to 17 years of age (21 years if still enrolled in school) with a behavioral or mental health diagnosis, or intellectual disability in the community or residential treatment facility setting with low, moderate, and severe needs.Services include:- 24 hour-a-day, 7 day-a-week crisis responseThe program’s goals are to connect children to services and resources which will help with their recovery and improvement, collaborate with service providers to monitor consumer participation and satisfaction, help coordinate existing services, and to advocate and provide additional support for the child. The Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.2394287,19153,TRUE,,,,,,,,0/5,Mental Health
"Family Based Program (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--family-based-program/4972998483509248?postal=19131,"['mental health care', 'outpatient treatment', 'case management']",,"['young adults', 'teens', 'children', 'benefit recipients', 'low-income', 'all mental health']",215-596-8100,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['This program helps people who are younger than 21 years old.', 'Must meet income requirements or have Medicaid.']",available,"The Family Based program combines treatment and case management services geared toward children up to age 21 who are at risk for out-of-home placement due to a severe emotional and/or behavioral disorder or severe mental illness.This program provides:- Crisis intervention- Behavioral health stabilizationFamily Based uses Eco-Systemic Structural Family Therapy (ESFT), an evidence-based practice that focuses on the entire family, not just the identified child.The Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. The Consortium does not turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.2394287,19153,FALSE,8:30AM - 4:30PM   ,8:30AM - 4:30PM   ,8:30AM - 4:30PM   ,8:30AM - 4:30PM   ,8:30AM - 4:30PM   ,Closed,Closed,0/5,Mental Health
"Children's Behavioral Health Outpatient Program (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--children%2527s-behavioral-health-outpatient-program/5918707198197760?postal=19131,"['group therapy', 'family counseling', 'individual counseling']",,"['teens', 'children', 'benefit recipients', 'low-income', 'uninsured', 'underinsured', 'all mental health']",267-233-5391,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['This program helps people who are 5 to 18 years old.', 'Must meet income requirements or have Medicaid.']",available,"The Children’s Outpatient program serves children aged five to 18. Children receive individual and group therapy at the level of care most appropriate to meet their needs. Family therapy is also provided, as needed. Enhanced services for children include:- Summer treatment program- Students are Nurtured to Achieve and make Progress (SNAP)- Parents Engagement Program (PEP)- Specialty groups including Anger Management, Bullying Prevention, Girls Empowerment, Boys Empowerment, Mentoring and Sexuality AcceptanceThe Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.2394287,19153,FALSE,8:00AM - 7:00PM   ,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,8:00AM - 8:00PM   ,8:00AM - 7:00PM   ,10:00AM - 2:00PM  ,Closed,0/5,Mental Health
"Functional Family Therapy (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--functional-family-therapy/6699148322799616?postal=19131,"['mental health care', 'mental health evaluation']",,"['teens', 'children', 'benefit recipients', 'low-income', 'all mental health']",267-233-5862,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['Must meet income requirements or have Medicaid.', 'Must have a referral.']",available,"Functional Family Therapy (FFT) is a strength-based model built on a foundation of acceptance and respect. FFT is a short-term, high-quality intervention program with an average of 12 to 14 sessions over three to five months. FFT works primarily with 11 to 18-year-old youth who have been referred for behavioral or emotional problems by the juvenile justice, mental health, school or child welfare systems.Services are conducted in the home settings but not limited to schools, child welfare facilities, probation offices/aftercare systems and mental health facilities. We focus on:- Assessment- InterventionThe Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.2394287,19153,FALSE,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,Closed,Closed,0/5,Mental Health
Stabilization Treatment and Engagement Program (Prevention Point Philadelphia),https://www.auntbertha.com//prevention-point-philadelphia-%2528ppp%2529--philadelphia-pa--stabilization-treatment-and-engagement-program-%2528step%2529/6459493034229760?postal=19131,"['addiction & recovery', 'outpatient treatment', 'medications for addiction']","['peer recovery coaching', 'case management']","['adults 18+', 'substance dependency', 'opioid dependency']",215-634-5272,https://ppponline.org/step,"2913 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=2913+Kensington+Avenue,+Philadelphia,+PA+19134/",[],available,"STEP is medication-assisted treatment program (MAT) that provides treatment of opioid use disorder. The most commonly prescribed medications in STEP are buprenorphine and naltrexone injections.  We provide:- Administration of buprenorphine typically through weekly appointments, and then incrementally graduating to a minimum of once a month appointments- Naltrexone, a 28-day injection that assists clients with maintaining abstinence from opioidsClients in STEP also:- Receive case management- Engage with a Certified Recovery Specialist- Are required to attend outsourced behavioral health appointments","['Arabic', 'Chinese', 'English', 'French', 'German', 'Hindi', 'Indonesian', 'Russian', 'Spanish', 'Vietnamese']",Reduced Cost,TRUE,https://www.facebook.com/preventionpointphiladelphia,https://www.twitter.com/@preventionpp,"This program covers residents of the following counties: Philadelphia County, PA.",39.9927048,-75.1196476,19134,FALSE,7:00AM - 6:00PM   ,7:00AM - 5:00PM   ,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,7:00AM - 3:00PM  ,7:00AM - 3:00PM  ,4.6/5,Mental Health
Clinica Bienestar (The Institute for Community Justice),https://www.auntbertha.com//the-institute-for-community-justice--philadelphia-pa--clinica-bienestar/5989492794851328?postal=19131,"['health education', 'disease management', 'medical care', 'checkup & test', 'disease screening', 'prevent & treat', 'counseling', 'hiv treatment', 'case management']",,"['adults 18+', 'infectious disease', 'hiv/aids', 'limited english']",267-436-3125,https://fight.org/programs/clinica-bienestar/,"2913 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=2913+Kensington+Avenue,+Philadelphia,+PA+19134/",[],temporarily closed,Clinica Bienestar is a Spanish-speaking comprehensive HIV primary care clinic. Clinica Bienestar staff are especially skilled in providing medical and social services to individuals who are actively using or have a history of using injection drugs and have received inconsistent HIV medical care.Services provided:- HIV primary care- Hepatitis C treatment - HIV PrEP- Wound care- Medical case management- Medication-assisted treatment- Harm reduction servicesAll patients are served regardless of their ability to pay. We accept both Medicaid and Medicare.,"['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/pages/Philadelphia-FIGHT/80411861715,https://www.twitter.com/@PhillyFIGHT,"This program covers residents of the following counties: Philadelphia County, PA.",39.9927048,-75.1196476,19134,FALSE,,,,,,,,0/5,Mental Health
Behavioral Health Services (APM),https://www.auntbertha.com//asociacin-puertorriqueos-en-marcha-%2528apm%2529--philadelphia-pa--behavioral-health-services/6715666236178432?postal=19131,"['group therapy', 'family counseling', 'individual counseling', 'mental health evaluation']",['medications for mental health'],"['all ages', 'individuals', 'families', 'benefit recipients', 'all mental health']",267-296-7200,https://apmphila.org/how-we-help/health/behavioral-health/,"2921 North 5th Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2921+North+5th+Street,+Philadelphia,+PA+19133/",['Must have Medicaid.'],available,"APM provides an array of professional behavioral health care services. Health care providers, psychiatrists, therapists, case managers, peer support specialists and other staff work together as a single team to treat the whole you, in two convenient locations in Philadelphia.Services include:- Individual Therapy- Family and Group Therapy- Psychiatric Evaluations- Psychiatric Intervention- Medication Monitoring- Couples CounselingEvening and Saturday hours are available by appointment. APM accepts Medicaid.","['English', 'Spanish']",Reduced Cost,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9956601,-75.1391006,19133,FALSE,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,7:00AM - 6:00PM   ,Closed,Closed,2.0/5,Mental Health
Place Of Refuge (Place of Refuge),https://www.auntbertha.com//place-of-refuge--philadelphia-pa--place-of-refuge/4789725290299392?postal=19131,"['counseling', 'mental health evaluation', 'outpatient treatment']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'grieving', 'low-income', 'uninsured', 'abuse or neglect survivors', 'sexual assault survivors', 'depression', 'anxiety', 'all mental health']",267-909-8550,https://placeofrefuge.net/centerandservices.aspx,"2938 North 5th Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2938+North+5th+Street,+Philadelphia,+PA+19133/",[],available,"Place of Refuge is a pioneering faith-based not-for-profit behavioral health center designed to provide professional, culturally-sensitive, community-based mental health services to North Philadelphia residents.This program provides:- Individual therapy- Family therapyCounseling can be used to address the following: - Trauma- Depression- Anxiety- Sexual Abuse- GrievingPlace Of Refuge offers a sliding scale for out-of-network clients",['English'],Sliding Scale,TRUE,https://www.facebook.com/RefugioNorthPhilly/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9960727,-75.1395566,19133,FALSE,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
