Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
45-day Crisis Shelter (Haven Hills),https://www.auntbertha.com//haven-hills--canoga-park-ca--45-day-crisis-shelter/6593014155706368?postal=90013,['temporary shelter'],"['meals', 'clothing', 'counseling', 'community support services', 'support network']","['all ages', 'female', 'mothers', 'domestic violence survivors', 'sexual assault survivors', 'in crisis', 'emergency']",818-887-6589,https://havenhills.org/en/services/,,,[],available,"The 45-Day Crisis Shelter offers a confidential refuge for victims of domestic violence, and their children, to find stability, break away, reassess and begin to rebuild their lives. Services Provided:- Crisis shelter - Food to meet basic nutritional needs- Clothing if needed- Support servicesStaff can immediately address trauma with:- Counseling, support and advocacy- Legal and medical referrals- Development of a safety plan- Access to community resources- Children’s program and On-Site Shelter School","['English', 'Spanish']",Free,False,https://www.facebook.com/havenhills,https://www.twitter.com/@havenhills,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,True,,,,,,,,0,Shelter
The Midnight Mission Courtyard Outreach (The Midnight Mission),https://www.auntbertha.com//the-midnight-mission--los-angeles-ca--the-midnight-mssion-courtyard-outreach/5189375556059136?postal=90013,"['temporary shelter', 'personal hygiene', 'community support services']",,"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'emergency']",213-624-9258,https://www.midnightmission.org/our-services/emergency-services/courtyard-outreach/,"601 San Pedro Street, Los Angeles, CA 90014","https://www.google.com/maps/?q=601+San+Pedro+Street,+Los+Angeles,+CA+90014/",['This program serves people experiencing homelessness.'],available,"The Midnight Mission provides the Courtyard Outreach Program for individuals who need a safe place to sleep but are resistant to the idea of shelters. The courtyard is a safe, monitored outdoor space specifically for individuals experiencing homelessness. This program provides: - Drop-in center during the day - Overnight outdoor sleeping space - 24/7 restroom",['English'],Free,True,https://www.facebook.com/TheMidnightMission?ref=mf,https://www.twitter.com/@MidniteMission,"This program covers residents of the following counties: Los Angeles County, CA.",34.0421564,-118.2459925,90014.0,True,,,,,,,,3.9,Shelter
Downtown Women’s Center (Los Angeles Homeless Services Authority),,"['temporary shelter', 'help find housing', 'navigating the system']",,"['adults', 'young adults', 'teens', 'seniors', 'individuals', 'homeless']",213-680-0600,https://www.lahsa.org/documents?id=2760-ces-access-point-directory.pdf,"442 San Pedro Street, Los Angeles, CA 90013","https://www.google.com/maps/?q=442+San+Pedro+Street,+Los+Angeles,+CA+90013/",['This program serves homeless individuals and families.'],available,"CES Access Centers are call-in or drop-in locations where persons experiencing homelessness can gain initial access to or continue contact with housing and supportive services available through LA CES. This program provides:- Access to emergency services- Referrals to housing resources- Referrals to, or direct provision of, basic services such as food provision, storage, and hygiene servicesIdentity your Service Planning Area (SPA) located on the map on the website or use the online tool to locate an access center.",['English'],Free,True,https://www.facebook.com/lahsa.org/,https://www.twitter.com/@LAHomeless,"This program covers residents of the following counties: Los Angeles County, CA.",34.0446522,-118.2432057,90013.0,False,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 4:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,3.8,Shelter
Weingart Center (Los Angeles Homeless Services Authority),,"['temporary shelter', 'help find housing', 'navigating the system']",,"['adults', 'young adults', 'teens', 'seniors', 'individuals', 'homeless']",213-833-5020,https://www.lahsa.org/documents?id=2760-ces-access-point-directory.pdf,"566 San Pedro St Apartment 653, Los Angeles, CA 90013",,['This program serves homeless individuals and families.'],available,"CES Access Centers are call-in or drop-in locations where persons experiencing homelessness can gain initial access to or continue contact with housing and supportive services available through LA CES. This program provides:- Access to emergency services- Referrals to housing resources- Referrals to, or direct provision of, basic services such as food provision, storage, and hygiene servicesIdentity your Service Planning Area (SPA) located on the map on the website or use the online tool to locate an access center.",['English'],Free,True,https://www.facebook.com/lahsa.org/,https://www.twitter.com/@LAHomeless,"This program covers residents of the following counties: Los Angeles County, CA.",34.0446522,-118.2432057,90013.0,False,10:30AM - 8:30PM,10:30AM - 8:30PM,10:30AM - 8:30PM,10:30AM - 8:30PM,10:30AM - 8:30PM,Closed,Closed,3.5,Shelter
Emergency Services (Los Angeles Mission Inc),https://www.auntbertha.com//los-angeles-mission%252C-inc--los-angeles-ca--emergency-services/5446213891522560?postal=90013,['temporary shelter'],"['clothing', 'medical care', 'checkup & test', 'personal hygiene', 'counseling', 'more education', 'meals']","['anyone in need', 'all ages', 'emergency']",213-629-1227,https://losangelesmission.org/emergency-services/,"303 East 5th Street, Los Angeles, CA 90013","https://www.google.com/maps/?q=303+East+5th+Street,+Los+Angeles,+CA+90013/",['This program is designed for people who are dealing with homelessness.'],available,"Los Angeles Mission breaks the cycle of homelessness and poverty, by stabilizing people in a safe and spiritual environment, connecting them to solutions and walking with them on their journey. Primary emergency services are available free of charge to all in need.This program provides:- Hot meals daily- Overnight shelter- Clean clothing- Showers- Temporary baggage storage",['English'],Free,True,https://www.facebook.com/LosAngelesMission,https://www.twitter.com/@TheLAMission,"This program covers residents of the following counties: Los Angeles County, CA.",34.045086,-118.245083,90013.0,False,11:00AM - 7:30PM,11:00AM - 7:30PM,11:00AM - 7:30PM,11:00AM - 7:30PM,11:00AM - 7:30PM,Closed,Closed,4.1,Shelter
Zahn Memorial Center (Salvation Army - California South),https://www.auntbertha.com//salvation-army---california-south--long-beach-ca--zahn-memorial-center/4813667136700416?postal=90013,"['temporary shelter', 'immediate safety', 'meals', 'help find housing', 'personal care items', 'navigating the system', 'support network', 'one-on-one support']",,"['all ages', 'families', 'homeless', 'in crisis', 'emergency']",213-438-1617,https://zahn.salvationarmy.org/zahn_memorial_center_us_west/,"832 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=832+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",[],available,"The Salvation Army's Zahn Memorial Center is the only emergency shelter for families in downtown Los Angeles, and provides individuals in crisis with an immediate, safe place to stay and the resources to begin getting their lives back on track. The Zahn program provides 90 days of emergency housing to 18 chronically homeless families with special needs.This program provides:- Interim Housing- Case Management- Basic Living NeedsThe program is focused on locating long term housing for each family, including transitional and permanent housing options. Working with an on-site case manager, each family receives personalized referrals and support to accelerate their transition to healthy independence. Zahn is a launch pad toward healthy independence, and a critical link between the experience of homelessness and restoring a family's relationship with the community.",['English'],Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA.",34.046547,-118.2642221,90015.0,False,11:00AM - 8:30PM,11:00AM - 8:30PM,11:00AM - 8:30PM,11:00AM - 8:30PM,11:00AM - 8:30PM,Closed,Closed,3.8,Shelter
Emergency Shelter Services (Skid Row Development Corp),https://www.auntbertha.com//skid-row-development-corp--los-angeles-ca--skid-row-development-corp/4815375174729728?postal=90013,"['temporary shelter', 'help find housing', 'counseling', 'navigating the system', 'case management', 'skills & training', 'job placement']",,"['adults 18+', 'homeless', 'near homeless', 'low-income', 'emergency']",213-623-7130,https://www.srdcla.org/contact.html,"526 E. 6th Street, Los Angeles, CA 90021",,[],available,"Skid Row Development Corp provides lodging for individuals struggling with homelessness.  Our guests are diverse in background, from people struggling as they work to get back on their feet or those who might be passing through the area.We provide services that assure basic needs are met, including:- Shelter- Board- Counseling- Job training- Employment replacement- House replacement to homeless and low-income adult",['English'],Free,True,,,"This program covers residents of the following cities: Los Angeles, CA.",34.0458428,-118.2398075,90021.0,False,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,10:00AM - 6:00PM,Closed,Closed,3.7,Shelter
Emergency Services (Union Rescue Mission),https://www.auntbertha.com//union-rescue-mission-%2528urm%2529--los-angeles-ca--emergency-services/6562327453237248?postal=90013,['temporary shelter'],"['meals', 'clothing', 'medical care', 'personal hygiene', 'counseling', 'case management']","['all ages', 'female', 'male', 'families', 'with children', 'homeless']",213-347-6300,https://urm.org/services/emergency/,"545 San Pedro Street, Los Angeles, CA 90013","https://www.google.com/maps/?q=545+San+Pedro+Street,+Los+Angeles,+CA+90013/","['Well-child exams for children under 17 are mandatory.', 'While at URM, families are required to save a minimum of 30% of their income.']",available,"Union Rescue Mission provides comprehensive care for men, women and children experiencing homelessness. Guests can sign up for beds, eat three meals a day, take showers, get haircuts, pick out fresh clothes and receive medical care. Counseling from our staff is also available to discuss options regarding our recovery programs or other service providers in the area.This program provides:- Emergency shelter Shelter services include:- Food - Clothing- Personal Hygiene- Clinics- Day Center - Family Community Center- Hospitality center - Life Management Classes - Individual Assessment/CounselingBecause of large number of families seeking help at URM, and due to our limited space, families who choose to stay at URM are limited to 90 days. Within those 90 days, we offer the comprehensive help they need to regain their independence. If you or someone you know is experiencing homelessness, we can help. To learn more about our emergency and recovery services, please call reach out by phone.",['English'],Free,True,https://www.facebook.com/RenestingProjectInc?ref=stream&fref=nf,https://www.twitter.com/@URM,"This program covers residents of the following counties: Los Angeles County, CA.",34.0433448,-118.2450788,90013.0,True,,,,,,,,3.8,Shelter
Elizabeth Ann Seton Residence Program (Catholic Charities of Los Angeles Inc.),https://www.auntbertha.com//catholic-charities-of-los-angeles%252C-inc.--los-angeles-ca--elizabeth-ann-seton-residence-program/6018454396076032?postal=90013,"['temporary shelter', 'meals', 'clothing', 'substance abuse counseling', 'medical care', 'counseling', 'mental health care', 'community support services', 'recreation', 'case management', 'more education', 'tutoring', 'youth development', 'help find work']",,"['teens', 'homeless', 'runaways']",213-251-3400,https://catholiccharitiesla.org/angels-flight-for-runaway-and-homeless-youth/,"1531 James M Wood Boulevard, Los Angeles, CA 90015","https://www.google.com/maps/?q=1531+James+M+Wood+Boulevard,+Los+Angeles,+CA+90015/",['This program helps people who are 10 to 17 years old.'],available,"The goal of the Elizabeth Ann Seton Residence (EASR) is to move homeless individuals and families from crisis situations to stability. Since 1983, Elizabeth Ann Seton Residence has been offering emergency shelter to families, pregnant women, the disabled and the elderly who are homeless.",['English'],Free,True,https://www.facebook.com/Catholic.Charities.LA,,"This program covers residents of the following counties: Los Angeles County, CA.",34.050688,-118.272225,90015.0,False,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,11:30AM - 8:00PM,Closed,Closed,4.4,Shelter
Emergency Youth Shelter (1736 Family Crisis Center),https://www.auntbertha.com//1736-family-crisis-center--los-angeles-ca--emergency-youth-shelter/4816089525518336?postal=90013,"['temporary shelter', 'immediate safety']","['meals', 'home goods', 'personal care items', 'individual counseling']","['teens', 'children', 'homeless', 'runaways', 'emergency']",323-737-3900,https://www.1736fcc.org/programs/residential-programs-dv-human-trafficking,,,['This program helps people who are 10 to 17 years old.'],available,"Emergency Youth Shelter Program provides runaway and homeless boys and girls ages 10 through 17 for a shelter stay of up to two weeks. This program provides:- Emergency shelterOther assistance includes:- Food & Clothing- Individual and group counseling- Medical services- Legal help and long-term safety plansAfter a participant graduates from the Youth Shelter, their goal is to make sure that the youth exit into safe, long-term housing, whether that is reunification with their parents or another appropriate arrangement. A six-month aftercare follow-up period is also in place so that staff can stay in touch to provide whatever support a they might need to stay on track.",['English'],Free,False,https://www.facebook.com/1736FamilyCrisisCenter/,https://www.twitter.com/@1736fcc,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,True,,,,,,,,,
Safe Parking (Safe Parking LA),https://www.auntbertha.com//safe-parking-la--los-angeles-ca--safe-parking/6647544271339520?postal=90013,"['temporary shelter', 'physical safety']",,"['anyone in need', 'all ages', 'homeless']",323-210-3375,https://www.safeparkingla.org/safe-parking-application/?utm_source=home&utm_medium=big-red-button&utm_campaign=default,,,['Must reside in city of Los Angeles.'],available,"Safe Parking LA  is a night-time program for people who are experiencing homelessness and sleeping in their vehicles at night, providing a safe and stable place to park the vehicle, remain compliant with local laws, and have access to restroom facilities. Services provided: - Safe parking- Restroom facilityPlease begin the application process by filling out the interest form provided on website or call/text 323-210-3375 during regular business hoursNote: Safe Parking LA programs are open during the COVID-19 pandemic and support our patrons ability to “shelter in place.” We appreciate your patience as we respond to a high volume of applications.",['English'],Free,False,,,"This program covers residents of the following cities: Los Angeles, CA.",,,,False,12:00PM - 8:00PM,12:00PM - 8:00PM,12:00PM - 8:00PM,12:00PM - 8:00PM,12:00PM - 8:00PM,11:00PM - 7:30PM,Closed,0,Mobile Shelter
